premise, conclusion, weight
" Inequality stayed constant, and according to some indicators worsened, under the Obama administration.", " Obama improved the economy of America.", -1.0
" It is a truism to call Obama a good role model, since any President that gets elected needs to be considered a good role model by the people on some level in order to win.", " Obama was a good role model to people.", -1.0
" Obamas social policies did not benefit religious and conservative Americans, as they undermined many of their core values.", " Obama implemented many social policies which greatly benefited America.", -1.0
" Obama was able to reach out to and create new allies for the US.", " Obama was a foreign policy failure.", -1.0
" Obama successfully fulfilled his promises regarding foreign policy.", " Obama failed to fulfill his campaign promises.", -1.0
" The actions of Obama and his administration have been hypocritical and inconsistent, thus undermining his position as a good role model.", " Obama was a good role model to people.", -1.0
" Obama was successful is fulfilling his campaign promises responding to pressing social issues.", " Obama failed to fulfill his campaign promises.", -1.0
" Not only did Obama fail to fulfil most of his promises regarding the protection of human rights and civil liberties, his administration saw a further disregardation in such rights.", " Obama failed to fulfill his campaign promises.", 1.0
" Many of Obamas foreign policies were unethical.", " Obama was a foreign policy failure.", 1.0
" 6.6 million more young adults have access to healthcare coverage as a result of the Affordable Care Act.", " Obamas Affordable Care Act - dubbed Obamacare - has benefited millions of Americans.", 1.0
" Obama failed to appoint Justice Merrick Garland to the Supreme Court bench, as he was unable to gain Republican support for the nomination.", " Obamas failure to build a functioning relationship with the Republican Party during his presidency is an example of how he failed to be a good president to all Americans.", 1.0
